ADYGEYA, RESPUBLIKA|2699
ALTAY, RESPUBLIKA|2700
ALTAYSKIY KRAY|2701
AMURSKAYA OBLAST'|2702
ARKHANGEL'SKAYA OBLAST'|2703
ASTRAKHANSKAYA OBLAST'|2704
BASHKORTOSTAN, RESPUBLIKA|2705
BELGORODSKAYA OBLAST'|2706
BRYANSKAYA OBLAST'|2707
BURYATIYA, RESPUBLIKA|2708
CHECHENSKAYA RESPUBLIKA|2709
CHELYABINSKAYA OBLAST'|2710
CHUVASHSKAYA RESPUBLIKA|2712
DAGESTAN, RESPUBLIKA|2713
IRKUTSKAYA OBLAST'|2715
IVANOVSKAYA OBLAST'|2716
KALININGRADSKAYA OBLAST'|2718
KALMYKIYA, RESPUBLIKA|2719
KALUZHSKAYA OBLAST'|2720
KAMCHATSKIY KRAY|2781
KARACHAYEVO-CHERKESSKAYA RESPUBLIKA|2721
KARELIYA, RESPUBLIKA|2722
KEMEROVSKAYA OBLAST'|2723
KHABAROVSKIY KRAY|2724
KHAKASIYA, RESPUBLIKA|2725
KHANTY-MANSIYSKIY AVTONOMNYY OKRUG-YUGRA|2726
KIROVSKAYA OBLAST'|2727
KOMI, RESPUBLIKA|2728
KOSTROMSKAYA OBLAST'|2729
KRASNODARSKIY KRAY|2730
KRASNOYARSKIY KRAY|2780
KURGANSKAYA OBLAST'|2731
KURSKAYA OBLAST'|2732
LENINGRADSKAYA OBLAST'|2733
LIPETSKAYA OBLAST'|2734
MARIY EL, RESPUBLIKA|2736
MORDOVIYA, RESPUBLIKA|2737
MOSKOVSKAYA OBLAST'|2738
MOSKVA|2739
MURMANSKAYA OBLAST'|2740
NIZHEGORODSKAYA OBLAST'|2742
NOVGORODSKAYA OBLAST'|2743
NOVOSIBIRSKAYA OBLAST'|2744
OMSKAYA OBLAST'|2745
ORENBURGSKAYA OBLAST'|2746
ORLOVSKAYA OBLAST'|2747
PENZENSKAYA OBLAST'|2748
PERMSKIY KRAY|2749
PRIMORSKIY KRAY|2750
PSKOVSKAYA OBLAST'|2751
ROSTOVSKAYA OBLAST'|2752
SAKHA, RESPUBLIKA|2754
SAKHALINSKAYA OBLAST'|2755
SAMARSKAYA OBLAST'|2756
SANKT-PETERBURG|2757
SARATOVSKAYA OBLAST'|2758
SMOLENSKAYA OBLAST'|2760
STAVROPOL'SKIY KRAY|2761
SVERDLOVSKAYA OBLAST'|2762
TAMBOVSKAYA OBLAST'|2763
TATARSTAN, RESPUBLIKA|2764
TOMSKAYA OBLAST'|2765
TUL'SKAYA OBLAST'|2766
TYUMENSKAYA OBLAST'|2768
TYVA, RESPUBLIKA|2769
UDMURTSKAYA RESPUBLIKA|2770
UL'YANOVSKAYA OBLAST'|2771
VLADIMIRSKAYA OBLAST'|2772
VOLGOGRADSKAYA OBLAST'|2773
VOLOGODSKAYA OBLAST'|2774
VORONEZHSKAYA OBLAST'|2775
YAMALO-NENETSKIY AVTONOMNYY OKRUG|2776
YAROSLAVSKAYA OBLAST'|2777
YEVREYSKAYA AVTONOMNAYA OBLAST'|2778
ZABAYKAL'SKIY KRAY|2782
